작업,담당자,상위 작업,선행 작업,일정,진행 상태,프로젝트,하위 작업,회의록,후속 작업
설문 배포 및 수집,Code for Korea,,포스터 설문 작업 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A4%EB%AC%B8%20%EC%9E%91%EC%97%85%2031c38e82116680008034d7a061f90130.md),"March 22, 2026 → March 31, 2026",완료,홍대 포스터 선정 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%99%8D%EB%8C%80%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%2031c38e8211668052a240fe10d96d182c.md),,,결과 리뷰 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EA%B2%B0%EA%B3%BC%20%EB%A6%AC%EB%B7%B0%2031c38e821166807280edd263284444fa.md)
결과 리뷰,"Geunhee Lee, Eunsoo Lee",,설문 배포 및 수집 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%A4%EB%AC%B8%20%EB%B0%B0%ED%8F%AC%20%EB%B0%8F%20%EC%88%98%EC%A7%91%2031c38e82116680de98cff590761562e0.md),"April 1, 2026",완료,홍대 포스터 선정 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%99%8D%EB%8C%80%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%2031c38e8211668052a240fe10d96d182c.md),,,결과 전달 및 블로그 작성 요청 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EA%B2%B0%EA%B3%BC%20%EC%A0%84%EB%8B%AC%20%EB%B0%8F%20%EB%B8%94%EB%A1%9C%EA%B7%B8%20%EC%9E%91%EC%84%B1%20%EC%9A%94%EC%B2%AD%2033938e82116680bf9864f18e66d9487f.md)
펀딩 기회 수집,Geunhee Lee,,,"March 8, 2026",완료,2026년 펀딩 및 지원 확보 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%EB%85%84%20%ED%8E%80%EB%94%A9%20%EB%B0%8F%20%EC%A7%80%EC%9B%90%20%ED%99%95%EB%B3%B4%2031d38e82116680e8aaaae8931983ee5d.md),,,펀딩 및 지원 동참 인원 모으기 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8E%80%EB%94%A9%20%EB%B0%8F%20%EC%A7%80%EC%9B%90%20%EB%8F%99%EC%B0%B8%20%EC%9D%B8%EC%9B%90%20%EB%AA%A8%EC%9C%BC%EA%B8%B0%2031d38e8211668008af1dc0b7b1ee8be4.md)
펀딩 및 지원 동참 인원 모으기,Geunhee Lee,,펀딩 기회 수집 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8E%80%EB%94%A9%20%EA%B8%B0%ED%9A%8C%20%EC%88%98%EC%A7%91%2031d38e82116680858433c1b3e86e3adb.md),"March 13, 2026 → March 15, 2026",완료,2026년 펀딩 및 지원 확보 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%EB%85%84%20%ED%8E%80%EB%94%A9%20%EB%B0%8F%20%EC%A7%80%EC%9B%90%20%ED%99%95%EB%B3%B4%2031d38e82116680e8aaaae8931983ee5d.md),,,
당옆공 지원서 작성,Geunhee Lee,,,"March 15, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,대면 인터뷰 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8C%80%EB%A9%B4%20%EC%9D%B8%ED%84%B0%EB%B7%B0%2033938e821166804d801ee2c7dc1ac936.md)
당옆공 오리엔테이션 참여,Geunhee Lee,,대면 인터뷰 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8C%80%EB%A9%B4%20%EC%9D%B8%ED%84%B0%EB%B7%B0%2033938e821166804d801ee2c7dc1ac936.md),"April 3, 2026 → April 3, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,당옆공 커뮤니티 기획 교육 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8B%B9%EC%98%86%EA%B3%B5%20%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%20%EA%B8%B0%ED%9A%8D%20%EA%B5%90%EC%9C%A1%2033938e821166807990ffe61249a31f58.md)
당옆공 커뮤니티 기획 교육,"Geunhee Lee, rebane, Eunsoo Lee",,당옆공 오리엔테이션 참여 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8B%B9%EC%98%86%EA%B3%B5%20%EC%98%A4%EB%A6%AC%EC%97%94%ED%85%8C%EC%9D%B4%EC%85%98%20%EC%B0%B8%EC%97%AC%2033938e82116680649c57e48e8727a187.md),"April 9, 2026 → April 10, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,"사회현안 해결을 위한 시나리오 발굴 협의 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%82%AC%ED%9A%8C%ED%98%84%EC%95%88%20%ED%95%B4%EA%B2%B0%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%B0%9C%EA%B5%B4%20%ED%98%91%EC%9D%98%201c538e82116680b983fad25b69d1da42.md), 커뮤니티 기획 교육 1일차 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%20%EA%B8%B0%ED%9A%8D%20%EA%B5%90%EC%9C%A1%201%EC%9D%BC%EC%B0%A8%2033d38e821166801c8f5adc5e53951cb7.md), 커뮤니티 기획 교육 2일차 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%20%EA%B8%B0%ED%9A%8D%20%EA%B5%90%EC%9C%A1%202%EC%9D%BC%EC%B0%A8%2033e38e82116680049c87f47af6631c79.md)",커뮤니티 활동 계획서와 모임 소개글 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%20%ED%99%9C%EB%8F%99%20%EA%B3%84%ED%9A%8D%EC%84%9C%EC%99%80%20%EB%AA%A8%EC%9E%84%20%EC%86%8C%EA%B0%9C%EA%B8%80%20%EC%9E%91%EC%84%B1%2033938e82116680e0ac99d38d7ebdd89c.md)
대면 인터뷰,클루KLOU,,당옆공 지원서 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8B%B9%EC%98%86%EA%B3%B5%20%EC%A7%80%EC%9B%90%EC%84%9C%20%EC%9E%91%EC%84%B1%2033938e821166808c999dcd625bf94759.md),"March 19, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,당옆공 오리엔테이션 참여 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8B%B9%EC%98%86%EA%B3%B5%20%EC%98%A4%EB%A6%AC%EC%97%94%ED%85%8C%EC%9D%B4%EC%85%98%20%EC%B0%B8%EC%97%AC%2033938e82116680649c57e48e8727a187.md)
커뮤니티 활동 계획서와 모임 소개글 작성,Geunhee Lee,,당옆공 커뮤니티 기획 교육 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8B%B9%EC%98%86%EA%B3%B5%20%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%20%EA%B8%B0%ED%9A%8D%20%EA%B5%90%EC%9C%A1%2033938e821166807990ffe61249a31f58.md),"April 11, 2026 → April 15, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,
결과 공유회,,,,"July 23, 2026",시작 전,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,
결과 전달 및 블로그 작성 요청,,,결과 리뷰 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EA%B2%B0%EA%B3%BC%20%EB%A6%AC%EB%B7%B0%2031c38e821166807280edd263284444fa.md),"April 6, 2026 → April 10, 2026",시작 전,홍대 포스터 선정 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%99%8D%EB%8C%80%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%2031c38e8211668052a240fe10d96d182c.md),,,
대피소 탐방 계획,Geunhee Lee,,,"May 2, 2026 → May 8, 2026",진행 중,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,
당옆공 활동일지 업데이트,Geunhee Lee,,,"May 2, 2026 → May 3, 2026",완료,2026 당신 옆의 공익활동 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2026%20%EB%8B%B9%EC%8B%A0%20%EC%98%86%EC%9D%98%20%EA%B3%B5%EC%9D%B5%ED%99%9C%EB%8F%99%2033938e8211668053bb9dd098280bf8be.md),,,
작은연구 지원서 작성,"Geunhee Lee, 클루KLOU, 달로스",,,"May 2, 2026 → May 6, 2026",진행 중,서울연구원 작은연구 지원사업 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%EC%84%9C%EC%9A%B8%EC%97%B0%EA%B5%AC%EC%9B%90%20%EC%9E%91%EC%9D%80%EC%97%B0%EA%B5%AC%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85%2035438e821166805986ffcf29b810d69e.md),,,
안심이 웹페이지 기획,"Geunhee Lee, 달로스",,,"May 5, 2026 → May 5, 2026",진행 중,,,,
